Date,Andhra Pradesh,Arunachal Pradesh,Assam,Bihar,Chhatisgarh,Goa,Gujarat,Haryana,Himachal Pradesh,Jammu & Kashmir,Jharkhand,Karnataka,Kerala,Madhya Pradesh,Maharashtra,Manipur,Meghalaya,Mizoram,Nagaland,Odisha,Punjab,Rajasthan,Sikkim,Tamil Nadu,Telengana,Tripura,Uttarakhand,Uttar Pradesh,West Bengal
2020-01-01,87,8,38,47,3282,2,118,5,0,1,1438,142,22,65,334,0,41,223,0,1731,2,12,0,47,59,133,0,362,171
2020-02-01,114,4,17,64,2842,3,89,2,0,1,825,96,20,145,247,0,38,155,0,1352,1,12,0,48,67,66,1,462,118
2020-03-01,140,8,18,48,2438,3,179,3,0,1,791,83,17,196,233,0,34,94,0,1725,2,16,0,48,101,71,0,521,130
2020-04-01,121,10,25,43,2424,3,314,3,1,1,773,68,16,194,295,0,45,188,1,1852,6,10,0,48,61,163,5,485,208
2020-05-01,160,9,28,44,1909,6,414,28,4,2,864,64,18,274,271,1,79,360,1,1885,31,27,0,61,37,432,8,1135,324
2020-06-01,178,2,63,34,1733,16,432,42,6,2,1195,96,31,310,387,5,201,784,2,2448,58,22,0,67,23,1413,13,3569,427
2020-07-01,249,5,86,72,3366,33,751,75,6,6,1515,265,36,668,1362,2,235,1285,2,5904,68,85,0,66,112,1077,19,4796,734
2020-08-01,177,7,71,84,3177,13,1043,108,12,9,1938,216,34,1206,1434,1,219,924,1,3053,73,129,0,125,156,574,25,5607,1039
2020-09-01,157,9,51,56,2813,12,967,48,13,14,2110,204,30,1639,841,1,196,659,1,1838,140,194,0,133,71,388,19,15330,1913
2020-10-01,122,6,85,41,2376,15,915,33,4,5,1792,193,33,1089,607,1,172,441,2,1832,22,213,0,130,50,341,9,5281,3968
2020-11-01,111,5,102,51,3078,9,601,12,1,3,2189,120,26,651,548,1,164,261,0,1881,12,179,0,161,45,400,6,1835,3202
2020-12-01,74,1,55,16,1854,9,200,0,1,3,736,118,14,280,699,0,57,98,0,948,3,54,1,39,82,170,0,591,1094
2021-01-01,40,0,6,35,2544,8,52,0,0,1,1004,122,14,31,872,0,31,165,0,1008,0,7,0,32,51,46,0,125,255
2021-02-01,94,0,9,41,2472,12,43,2,0,0,821,75,20,69,511,0,9,96,1,996,1,13,0,52,84,14,0,230,149
2021-03-01,151,1,13,51,2144,6,134,1,0,2,793,55,20,85,683,1,13,104,1,1256,4,15,1,40,59,46,0,404,208
2021-04-01,142,2,3,36,1642,2,43,2,0,1,538,32,12,114,457,0,15,111,1,1544,5,14,0,23,21,101,0,178,197
2021-05-01,86,0,3,17,1545,3,76,0,1,0,280,30,8,92,467,0,34,203,0,1456,4,6,1,29,11,133,0,38,153
